Date,Time,Network Type,inputFile1,inputFile2,inputFile3,inputFile4,Epochs,Image Dimension,Accuracy,Layers,Nodes,Kernal size
19/07/2017,Unknown,DNN,A5,B5,,,5,25,73.603165269197575,5,100,
19/07/2017,Unknown,DNN,A5,C5,,,5,25,71.85323594360456,5,100,
19/07/2017,Unknown,DNN,A5,D5,,,5,25,81.676731408404407,5,100,
19/07/2017,Unknown,DNN,B5,C5,,,5,25,63.190025797406868,5,100,
19/07/2017,Unknown,DNN,B5,D5,,,5,25,74.598344027188773,5,100,
19/07/2017,Unknown,DNN,C5,D5,,,5,25,66.066458530262622,5,100,
19/07/2017,18:52:48,CNN,A5,B5,,,5,0,76.698925307056697,4,0,3
19/07/2017,19:05:24,CNN,A5,C5,,,5,0,72.753524713449806,4,0,3
19/07/2017,19:24:32,CNN,A5,D5,,,5,0,82.642402481795401,4,0,3
19/07/2017,19:37:25,CNN,B5,C5,,,5,0,63.572656918679037,4,0,3
19/07/2017,19:57:03,CNN,B5,D5,,,5,0,74.598344027188773,4,0,3
19/07/2017,20:19:25,CNN,C5,D5,,,5,0,66.170526876543988,4,0,3
19/07/2017,Unknown,DNN,A5,B5,C5,D5,5,25,50.313218486554931,5,100,
19/07/2017,21:02:34,CNN,A5,B5,C5,D5,5,0,76.594415380629741,4,0,3
19/07/2017,21:28:54,CNN,B5,C5,D5,,5,0,69.797006942064741,4,0,3
19/07/2017,21:55:34,CNN,A5,C5,D5,,5,0,74.050969660522597,4,0,3
19/07/2017,Unknown,DNN,A5,B5,D5,,5,25,65.462257995122101,5,100,
19/07/2017,22:28:36,CNN,A5,B5,D5,,5,0,77.161918551034447,4,0,3
19/07/2017,Unknown,DNN,A5,B5,C5,,5,25,54.307607767971774,5,100,
19/07/2017,22:52:08,CNN,A5,B5,C5,,5,0,70.680180863446694,4,0,3
19/07/2017,Unknown,DNN,A10,B10,,,5,100,73.560391382017926,5,100,
19/07/2017,Unknown,DNN,A10,C10,,,5,100,72.09104807303558,5,100,
19/07/2017,Unknown,DNN,A10,D10,,,5,100,81.875306021226166,5,100,
19/07/2017,Unknown,DNN,B10,C10,,,5,100,63.469475496461037,5,100,
19/07/2017,Unknown,DNN,B10,D10,,,5,100,74.598344027188773,5,100,
